S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-07-13,458.00,458.00,458.00,458.00,0.00,"2,228.00","1,020,424.00"
2,2025-06-18,458.00,458.00,458.00,458.00,0.00,"8,704.00","3,986,432.00"
3,2025-05-28,458.00,458.00,458.00,458.00,0.00,"14,241.00","6,522,378.00"
4,2024-12-22,495.00,495.00,495.00,495.00,0.00,"15,000.00","7,425,000.00"
5,2024-12-08,495.00,495.00,495.00,495.00,0.00,"4,000.00","1,980,000.00"
6,2024-09-16,327.00,327.00,327.00,327.00,0.00,"8,704.00","2,846,208.00"
7,2024-09-01,327.00,327.00,327.00,327.00,0.00,900.00,"294,300.00"
8,2024-08-12,327.00,327.00,327.00,327.00,0.00,"6,000.00","1,962,000.00"
9,2024-07-18,327.00,327.00,327.00,327.00,0.00,"10,288.00","3,364,176.00"
10,2024-05-19,327.00,327.00,327.00,327.00,0.00,"3,644.00","1,191,588.00"
11,2024-04-28,327.00,327.00,327.00,327.00,0.00,"6,000.00","1,962,000.00"
12,2024-03-03,327.00,327.00,327.00,327.00,0.00,"10,832.00","3,542,064.00"
13,2024-02-27,327.00,327.00,327.00,327.00,0.00,"18,375.00","6,008,625.00"
14,2023-07-03,404.00,404.00,404.00,404.00,0.00,"10,050.00","4,060,200.00"
15,2022-10-31,448.00,448.00,448.00,448.00,0.00,"4,570.00","2,047,360.00"
16,2022-10-20,448.00,448.00,448.00,448.00,0.00,"4,500.00","2,016,000.00"
17,2022-10-10,448.00,448.00,448.00,448.00,0.00,"1,534.00","687,232.00"
18,2021-08-19,976.00,976.00,976.00,976.00,0.00,"3,808.00","3,716,608.00"
19,2021-08-18,976.00,976.00,976.00,976.00,0.00,"9,521.00","9,292,496.00"
20,2021-08-17,976.00,976.00,976.00,976.00,0.00,"10,200.00","9,955,200.00"
21,2021-08-01,976.00,976.00,976.00,976.00,0.00,"2,530.00","2,469,280.00"
22,2021-07-18,976.00,976.00,976.00,976.00,0.00,"2,530.00","2,469,280.00"
23,2021-06-24,976.00,976.00,976.00,976.00,0.00,"6,325.00","6,173,200.00"
24,2021-04-26,976.00,976.00,976.00,976.00,0.00,"6,325.00","6,173,200.00"
25,2021-04-20,571.00,571.00,571.00,571.00,0.00,"48,006.00","14,521,571.00"
26,2020-12-14,571.00,571.00,571.00,571.00,0.00,"2,530.00","1,444,630.00"
