S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2024-07-08,277.00,277.00,277.00,277.00,0.00,"10,340.00","2,864,180.00"
2,2024-01-08,178.00,178.00,178.00,178.00,0.00,"5,190.00","923,820.00"
3,2023-01-12,153.00,153.00,153.00,153.00,0.00,"5,000.00","765,000.00"
4,2022-09-02,135.00,135.00,135.00,135.00,0.00,"1,000.00","135,000.00"
5,2022-07-22,135.00,135.00,135.00,135.00,0.00,"1,000.00","135,000.00"
6,2022-06-08,135.00,135.00,135.00,135.00,0.00,"5,000.00","675,000.00"
7,2022-02-27,177.00,177.00,177.00,177.00,0.00,"2,500.00","442,500.00"
8,2022-01-06,177.00,177.00,177.00,177.00,0.00,"7,500.00","1,327,500.00"
9,2021-09-12,187.00,187.00,187.00,187.00,0.00,"7,000.00","1,309,000.00"
10,2021-07-06,187.00,187.00,187.00,187.00,0.00,"3,000.00","561,000.00"
11,2021-07-04,100.00,100.00,100.00,100.00,0.00,"3,000.00","300,000.00"
12,2021-03-29,100.00,100.00,100.00,100.00,0.00,"12,000.00","1,200,000.00"
13,2021-03-25,100.00,100.00,100.00,100.00,0.00,"50,000.00","5,000,000.00"
14,2021-03-24,100.00,100.00,100.00,100.00,0.00,"10,000.00","1,000,000.00"
15,2021-03-23,100.00,100.00,100.00,100.00,0.00,"56,000.00","5,600,000.00"
16,2020-09-27,100.00,100.00,100.00,100.00,0.00,"3,000.00","300,000.00"
17,2020-09-16,100.00,100.00,100.00,100.00,0.00,"25,000.00","2,500,000.00"
18,2020-09-13,100.00,100.00,100.00,100.00,0.00,"32,000.00","3,200,000.00"
19,2020-07-06,100.00,100.00,100.00,100.00,0.00,"19,000.00","1,900,000.00"
20,2019-12-11,100.00,100.00,100.00,100.00,0.00,"35,000.00","3,500,000.00"
21,2019-12-03,100.00,100.00,100.00,100.00,0.00,"36,710.00","3,671,000.00"
22,2019-11-21,100.00,100.00,100.00,100.00,0.00,"23,750.00","2,375,000.00"
