S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
52,2025-11-27,485.0,492.7,478.1,487.8,0.91,"73,026.00","35,465,643.30"
53,2025-11-26,471.5,490.0,467.3,483.4,2.05,"41,468.00","19,876,474.60"
54,2025-11-25,479.0,480.0,468.2,473.7,-1.31,"41,107.00","19,458,928.90"
55,2025-11-24,467.6,493.0,467.6,480.0,0.61,"52,082.00","25,107,230.70"
56,2025-11-23,469.5,487.0,465.3,477.1,1.62,"58,078.00","27,650,450.50"
57,2025-11-20,489.0,506.0,468.2,469.5,-3.79,"94,449.00","46,154,473.50"
58,2025-11-19,463.0,490.0,463.0,488.0,5.17,"124,282.00","59,643,893.30"
59,2025-11-18,453.9,465.0,446.0,464.0,4.27,"62,716.00","28,753,713.30"
60,2025-11-17,432.1,445.0,432.1,445.0,1.14,"26,235.00","11,534,196.50"
61,2025-11-16,447.0,454.9,432.0,440.0,-1.57,"21,049.00","9,232,122.20"
62,2025-11-13,436.9,458.0,436.9,447.0,0.45,"37,162.00","16,560,855.40"
63,2025-11-12,443.0,455.0,437.2,445.0,-1.11,"27,435.00","12,205,345.60"
64,2025-11-11,425.1,460.0,425.1,450.0,3.85,"81,917.00","36,744,444.20"
65,2025-11-10,441.0,448.6,428.6,433.3,-1.5,"26,547.00","11,632,550.20"
66,2025-11-09,419.1,452.9,416.0,439.9,4.22,"56,050.00","24,437,513.40"
67,2025-11-06,424.0,430.0,417.8,422.1,-0.45,"19,186.00","8,121,419.50"
68,2025-11-05,420.0,430.0,415.0,424.0,-0.7,"18,083.00","7,583,120.50"
69,2025-11-04,433.0,445.5,420.0,427.0,-2.29,"21,850.00","9,433,240.50"
70,2025-11-03,433.0,447.8,429.0,437.0,-0.91,"32,879.00","14,376,208.40"
71,2025-11-02,440.0,446.7,432.0,441.0,0.85,"40,403.00","17,824,989.30"
72,2025-10-30,409.0,448.8,409.0,437.3,5.37,"40,896.00","17,641,471.40"
73,2025-10-29,412.1,430.0,412.0,415.0,-0.93,"23,621.00","9,912,225.50"
74,2025-10-28,394.0,418.9,394.0,418.9,4.2,"21,817.00","8,983,025.90"
75,2025-10-26,407.9,415.0,400.0,402.0,-1.45,"8,288.00","3,342,287.50"
76,2025-10-19,400.0,424.0,397.2,407.9,1.98,"11,705.00","4,736,892.10"
77,2025-10-16,411.0,411.0,397.1,400.0,-2.84,"22,993.00","9,256,608.00"
78,2025-10-15,417.2,417.2,403.1,411.7,0.64,"21,279.00","8,754,046.00"
79,2025-10-14,416.0,420.0,408.5,409.1,-2.6,"14,035.00","5,780,607.60"
80,2025-10-13,408.1,423.8,403.0,420.0,2.44,"28,114.00","11,671,207.90"
81,2025-10-12,423.5,440.5,407.0,410.0,-5.09,"34,247.00","14,197,767.30"
82,2025-10-09,440.0,460.0,430.1,432.0,0.0,"26,983.00","11,896,247.40"
83,2025-10-08,444.9,444.9,426.7,432.0,-2.9,"32,690.00","14,117,892.40"
84,2025-10-07,459.0,460.0,440.0,444.9,-3.07,"34,673.00","15,448,204.60"
85,2025-09-28,455.0,463.0,451.2,459.0,0.0,"20,632.00","9,462,162.20"
86,2025-09-25,470.0,477.0,450.1,459.0,-0.43,"47,055.00","21,955,924.60"
87,2025-09-24,449.8,469.2,433.1,461.0,2.49,"36,839.00","16,664,271.50"
88,2025-09-23,437.0,453.5,437.0,449.8,2.81,"40,917.00","18,336,233.40"
89,2025-09-21,410.0,445.0,395.0,437.52,5.17,"45,519.00","19,548,353.70"
90,2025-09-18,449.8,449.8,413.1,416.0,-9.35,"1,814.00","786,893.50"
91,2025-09-08,470.0,483.8,455.1,458.92,-3.55,"53,608.00","24,974,366.20"
92,2025-09-07,490.0,499.0,475.0,475.82,-3.92,"52,696.00","25,475,251.50"
93,2025-09-04,475.0,500.0,474.0,495.24,2.52,"57,229.00","27,598,746.00"
94,2025-09-03,485.1,515.0,472.1,483.06,-2.4,"71,659.00","34,887,081.40"
95,2025-09-02,520.0,520.0,493.0,494.94,-4.04,"75,879.00","37,822,884.90"
96,2025-09-01,543.0,543.0,512.0,515.8,-4.88,"176,864.00","91,630,544.20"
97,2025-08-31,580.2,625.7,521.0,542.27,-4.68,"328,282.00","180,510,324.80"
98,2025-08-28,527.5,568.9,527.5,568.9,10.0,"34,970.00","19,892,587.00"
99,2025-08-27,477.0,517.2,477.0,517.2,10.0,"2,420.00","1,249,378.00"
100,2025-08-26,436.0,470.2,436.0,470.2,9.99,750.00,"351,809.00"
101,2025-08-25,383.2,427.5,383.2,427.5,9.98,885.00,"376,241.50"
102,2025-08-24,346.8,388.7,346.8,388.7,9.99,545.00,"209,516.50"
103,2025-08-21,320.0,353.4,320.0,353.4,9.99,490.00,"171,408.90"
104,2025-08-20,292.1,321.3,292.1,321.3,10.0,320.00,"100,791.70"
