S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
179,2025-04-21,10.39,10.75,10.34,10.55,0.09,"5,000.00","52,611.00"
180,2025-04-20,10.5,10.61,10.41,10.54,-0.75,"3,000.00","31,330.00"
181,2025-04-17,10.22,10.8,10.1,10.62,2.12,"24,867.00","263,479.20"
182,2025-04-16,10.22,10.5,10.22,10.4,-0.19,"17,140.00","178,508.40"
183,2025-04-15,10.25,10.6,10.25,10.42,0.19,"11,700.00","123,749.00"
184,2025-04-13,10.31,10.51,10.31,10.4,-0.95,"11,216.00","117,693.16"
185,2025-04-10,10.36,10.56,10.36,10.5,-0.47,"3,200.00","33,426.00"
186,2025-04-09,10.49,10.69,10.29,10.55,2.13,"110,543.00","1,159,701.50"
187,2025-04-08,10.2,10.59,10.2,10.33,-0.58,"117,171.00","1,214,949.48"
188,2025-04-07,10.12,10.4,10.12,10.39,0.78,"5,400.00","55,897.00"
189,2025-04-03,10.3,10.71,10.3,10.31,-1.81,"11,700.00","120,823.00"
190,2025-04-02,10.11,10.6,10.11,10.5,1.94,"63,114.00","662,876.70"
191,2025-04-01,10.3,10.3,10.2,10.3,-2.0,"10,900.00","111,281.00"
192,2025-03-30,10.5,10.79,10.29,10.51,-0.66,"6,100.00","64,073.00"
193,2025-03-27,10.1,10.6,10.1,10.58,3.62,"22,300.00","233,430.00"
194,2025-03-26,10.0,10.21,10.0,10.21,0.39,"2,050.00","20,862.00"
195,2025-03-25,10.17,10.25,10.17,10.17,-0.78,"5,000.00","51,014.00"
196,2025-03-24,10.07,10.27,10.07,10.25,0.2,"2,100.00","21,459.00"
197,2025-03-23,10.2,10.32,10.2,10.23,-0.87,"4,350.00","44,677.00"
198,2025-03-20,10.3,10.35,10.3,10.32,-0.29,"36,820.00","380,340.20"
199,2025-03-19,10.2,10.4,10.2,10.35,1.37,"18,100.00","187,305.00"
200,2025-03-18,10.05,10.3,10.05,10.21,0.0,"31,850.00","325,671.50"
201,2025-03-17,10.01,10.21,10.01,10.21,0.0,"19,600.00","199,871.00"
202,2025-03-16,9.99,10.3,9.99,10.21,0.29,"12,500.00","127,494.00"
203,2025-03-12,10.1,10.3,10.1,10.18,-0.29,"43,750.00","444,158.00"
204,2025-03-11,10.0,10.21,10.0,10.21,0.1,"3,700.00","37,569.00"
205,2025-03-10,10.19,10.2,10.08,10.2,-1.73,"1,900.00","19,284.00"
206,2025-03-09,10.15,10.38,10.1,10.38,0.58,"376,710.00","3,813,397.20"
207,2025-03-06,10.1,10.32,10.1,10.32,1.98,"15,370.00","157,605.50"
208,2025-03-05,10.2,10.2,10.0,10.12,-0.78,"192,570.00","1,930,212.00"
209,2025-03-04,10.15,10.35,10.15,10.2,-0.39,"37,400.00","383,977.80"
210,2025-03-03,10.25,10.25,10.09,10.24,-0.1,"87,850.00","899,810.70"
211,2025-03-02,10.1,10.25,10.0,10.25,1.38,"86,265.00","878,449.50"
212,2025-02-27,10.0,10.21,10.0,10.11,-0.88,"8,650.00","88,004.00"
213,2025-02-25,10.0,10.21,10.0,10.2,1.39,"17,550.00","178,918.50"
214,2025-02-24,10.0,10.21,10.0,10.06,0.1,"307,440.00","3,101,110.40"
215,2025-02-23,10.0,10.1,10.0,10.05,0.5,"56,310.00","565,945.50"
216,2025-02-20,9.86,10.0,9.86,10.0,-0.6,700.00,"6,967.00"
217,2025-02-18,9.99,10.18,9.99,10.06,-0.4,"17,000.00","172,163.00"
218,2025-02-17,10.02,10.1,9.9,10.1,0.7,"155,900.00","1,566,764.00"
219,2025-02-16,10.0,10.18,9.99,10.03,-1.38,"20,890.00","210,764.00"
220,2025-02-13,10.0,10.17,10.0,10.17,0.69,"4,350.00","43,690.50"
221,2025-02-12,10.0,10.1,10.0,10.1,1.71,"2,350.00","23,605.00"
222,2025-02-11,9.92,10.1,9.92,9.93,0.2,"2,300.00","22,884.00"
223,2025-02-10,9.89,9.91,9.89,9.91,-1.1,"2,500.00","24,773.00"
224,2025-02-09,10.0,10.09,9.9,10.02,0.4,"93,860.00","940,714.60"
225,2025-02-06,9.98,9.99,9.98,9.98,0.0,"21,600.00","215,569.00"
226,2025-02-05,9.9,10.18,9.9,9.98,-0.2,"1,550.00","15,499.00"
227,2025-02-04,10.0,10.08,9.9,10.0,-0.3,"143,687.00","1,444,796.46"
228,2025-02-03,10.12,10.15,10.0,10.03,0.5,"104,363.00","1,053,453.39"
229,2025-02-02,9.84,10.15,9.83,9.98,0.81,"9,230.00","92,355.50"
230,2025-01-28,9.81,10.0,9.81,9.9,-0.7,"1,700.00","16,800.00"
231,2025-01-27,9.78,10.0,9.78,9.97,0.0,"9,950.00","97,694.00"
232,2025-01-26,9.89,10.05,9.89,9.97,-0.8,"7,900.00","79,212.00"
233,2025-01-23,9.88,10.05,9.88,10.05,-0.3,"16,250.00","163,236.50"
234,2025-01-22,9.76,10.08,9.76,10.08,1.61,"2,250.00","22,360.00"
235,2025-01-21,9.67,9.96,9.67,9.92,1.54,"1,105.00","10,899.60"
236,2025-01-20,9.9,10.08,9.75,9.77,-2.3,"4,985.00","49,140.30"
237,2025-01-19,9.87,10.06,9.87,10.0,-0.1,"4,600.00","46,140.00"
238,2025-01-16,9.87,10.17,9.87,10.01,-0.6,"101,150.00","1,013,519.50"
239,2025-01-15,10.08,10.08,9.88,10.07,1.82,"8,500.00","85,509.00"
240,2025-01-13,10.03,10.03,9.87,9.89,-0.3,"187,741.00","1,880,766.49"
241,2025-01-12,9.89,10.09,9.71,9.92,-1.68,"36,500.00","363,422.80"
242,2025-01-09,10.03,10.09,9.9,10.09,0.6,"601,100.00","6,047,472.00"
243,2025-01-08,9.85,10.1,9.85,10.03,0.2,"495,650.00","4,975,247.00"
244,2025-01-07,10.0,10.1,9.9,10.01,0.0,"4,100.00","41,012.00"
245,2025-01-06,10.0,10.15,10.0,10.01,0.1,"78,800.00","794,434.00"
246,2025-01-05,10.01,10.05,9.98,10.0,-0.89,"32,150.00","322,385.00"
247,2025-01-02,9.9,10.09,9.9,10.09,0.8,"10,550.00","106,379.00"
248,2025-01-01,9.85,10.04,9.78,10.01,0.4,"33,200.00","332,830.00"
249,2024-12-31,10.0,10.0,9.97,9.97,-0.4,"1,000.00","9,991.00"
250,2024-12-29,10.0,10.03,10.0,10.01,-0.2,"1,200.00","12,023.00"
