S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2024-12-22,11.07,11.31,11.07,11.25,0.45,"81,230.00","912,238.00"
2,2024-12-19,11.20,11.33,11.20,11.20,-1.06,"21,635.00","242,746.50"
3,2024-12-18,11.30,11.32,11.26,11.32,0.71,"116,400.00","1,317,177.00"
4,2024-12-17,11.40,11.40,11.12,11.24,0.36,"90,309.00","1,013,320.72"
5,2024-12-16,11.32,11.32,11.11,11.20,-1.06,"32,050.00","357,831.00"
6,2024-12-12,11.20,11.32,11.20,11.32,0.98,"64,160.00","719,088.95"
7,2024-12-11,11.17,11.23,11.17,11.21,-0.18,"21,500.00","241,076.00"
8,2024-12-10,11.25,11.25,11.18,11.23,0.45,"20,064.00","225,287.02"
9,2024-12-09,11.17,11.20,11.17,11.18,-0.09,"76,810.00","858,697.70"
10,2024-12-08,11.20,11.25,11.18,11.19,-0.44,"148,915.00","1,670,277.65"
11,2024-12-05,11.39,11.39,11.24,11.24,-0.27,"398,455.00","4,497,318.85"
12,2024-12-04,11.21,11.37,11.21,11.27,0.09,"231,858.00","2,620,239.36"
13,2024-12-03,11.21,11.30,11.15,11.26,0.45,"90,832.00","1,025,188.65"
14,2024-12-02,11.39,11.39,11.17,11.21,-0.36,"49,870.00","559,479.50"
15,2024-12-01,11.15,11.25,11.11,11.25,0.90,"46,400.00","519,552.00"
16,2024-11-28,11.18,11.21,11.15,11.15,-0.98,"108,797.00","1,215,750.95"
17,2024-11-27,11.25,11.30,11.15,11.26,0.99,"10,400.00","116,620.00"
18,2024-11-26,11.27,11.27,11.10,11.15,0.90,"10,620.00","118,749.50"
19,2024-11-25,11.36,11.36,11.00,11.05,-0.90,"242,292.00","2,690,333.10"
20,2024-11-24,11.39,11.39,11.11,11.15,-0.80,"60,680.00","679,128.20"
21,2024-11-21,11.10,11.30,11.10,11.24,0.27,"48,220.00","541,546.71"
22,2024-11-20,11.20,11.25,11.20,11.21,-0.18,"155,560.00","1,743,970.50"
23,2024-11-19,11.35,11.47,11.10,11.23,0.09,"475,261.00","5,381,944.55"
24,2024-11-17,11.17,11.35,11.17,11.22,0.63,"138,455.00","1,553,270.10"
25,2024-11-14,11.40,11.74,11.00,11.15,-0.27,"28,295.00","315,507.30"
26,2024-11-13,11.42,11.42,10.97,11.18,-1.06,"30,430.00","337,842.40"
27,2024-11-12,11.44,11.44,11.25,11.30,0.53,"1,292.00","14,747.48"
28,2024-11-11,11.10,11.44,11.10,11.24,-0.53,"78,124.00","874,472.99"
29,2024-11-10,10.83,11.30,10.82,11.30,2.36,"107,202.00","1,206,597.40"
30,2024-11-06,11.02,11.28,11.02,11.04,-1.78,"19,800.00","220,166.00"
31,2024-11-05,10.88,11.24,10.88,11.24,3.31,"25,918.00","287,744.29"
32,2024-10-30,11.22,11.30,10.81,10.88,-1.18,"20,094.00","222,326.98"
